datasourceId,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.value,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.value,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.value,Name
DCVIM2201,2025-03-05T00:00:00.000Z,2025-03-06T00:00:00.000Z,37.63757,-122.4327,3.79,3.65,21,20,4.27,4.27,75.77,75.77,12.56,12.56,Brentwood Park
DCVIM2201,2025-03-07T00:00:00.000Z,2025-03-08T00:00:00.000Z,37.63757,-122.4327,11.5,7.08,55,39,9.01,9.01,74.57,74.57,11.8,11.8,Brentwood Park
DCVIM2201,2025-03-02T00:00:00.000Z,2025-03-03T00:00:00.000Z,37.63757,-122.4327,3.18,3.42,17,19,2.96,2.96,76.47,76.47,12.08,12.08,Brentwood Park
DCVIM2201,2025-02-18T00:00:00.000Z,2025-02-19T00:00:00.000Z,37.63757,-122.4327,7.22,5.04,40,28,5.73,5.73,75.69,75.69,11.41,11.41,Brentwood Park
DCVIM2201,2024-12-13T00:00:00.000Z,2024-12-14T00:00:00.000Z,37.63757,-122.4327,6.96,4.57,38,25,5.63,5.63,83.31,83.31,11.96,11.96,Brentwood Park
DCVIM2201,2025-03-18T00:00:00.000Z,2025-03-19T00:00:00.000Z,37.63757,-122.4327,4.55,4.49,25,24,3.84,3.84,67.25,67.25,10.93,10.93,Brentwood Park
DCVIM2201,2025-02-17T00:00:00.000Z,2025-02-18T00:00:00.000Z,37.63757,-122.4327,3.87,3.4,21,19,3.62,3.62,80.31,80.31,12.09,12.09,Brentwood Park
DCVIM2201,2025-02-23T00:00:00.000Z,2025-02-24T00:00:00.000Z,37.63757,-122.4327,5.99,4.27,33,23,5.65,5.65,79.34,79.34,12.77,12.77,Brentwood Park
DCVIM2201,2025-03-09T00:00:00.000Z,2025-03-10T00:00:00.000Z,37.63757,-122.4327,6.13,4.82,34,27,6.08,6.08,70.92,70.92,10.9,10.9,Brentwood Park
DCVIM2201,2025-02-19T00:00:00.000Z,2025-02-20T00:00:00.000Z,37.63757,-122.4327,4.8,3.94,27,22,4.16,4.16,77.85,77.85,12.5,12.5,Brentwood Park
DCVIM2201,2024-12-16T00:00:00.000Z,2024-12-17T00:00:00.000Z,37.63757,-122.4327,23.81,9.05,78,50,17.6,17.6,87.07,87.07,9.14,9.14,Brentwood Park
